negara,skor_rerata,se_rerata,sd,se_sd,skor_10,se_10,skor_25,se_25,skor_50,se_50,skor_75,se_75,skor_90,se_90,selisih_90_10,se_selisih_90_10
Australia*,487.0842535121308,1.779614284857578,99.25718014540408,1.0459017765080187,358.46875,1.979094089862276,416.1018,2.0619253839285485,484.5607,1.9667865230779646,555.9391,2.688462208344114,619.0934,3.316114616367908,260.62465,3.4226398233551643
Austria,487.2674989673573,2.3377890130540924,93.58063446159758,1.2400039509314889,362.2608,3.681744800664796,420.416,3.589705502022413,488.9731,2.7114027449929967,554.3788,2.6928153051737054,608.4310999999999,2.7390929053043953,246.1703,4.093069814943306
Belgium,489.48681674494503,2.202874021453933,96.33182698883095,1.0814670910409392,359.4773,2.9805263822948374,420.22720000000004,3.030877355742982,492.1646,2.9732084893680084,558.8709000000001,2.8585562851823525,613.6125000000001,2.723941647609822,254.1352,3.597246803942177
Canada*,496.9478944357039,1.5618041791862418,94.00571810888324,0.8481431660702039,375.22130000000004,2.3208936746793603,430.49160000000006,1.721225791445994,496.31659999999994,1.801916298039085,561.6253,2.1633937709521196,618.873,2.2094386557072183,243.65170000000003,2.7090231306690615
Chile,411.6965707080961,2.077902006709292,76.6302568442833,1.0759226585532788,315.0869,2.8798079106465093,357.68230000000005,2.5181365824862603,408.56549999999993,2.5766596897814082,463.55510000000004,2.436366704433515,513.5108,2.7735733586536555,198.42390000000003,3.3147289347446476
Colombia,382.6968351295674,3.031013488194706,72.82037542374103,1.5088866306749955,293.2585,3.0925038827111186,331.6645,3.1871637376880018,377.5383000000001,3.522099841556012,429.3221000000001,3.749878865469451,480.6039,4.366946963920498,187.34540000000004,4.230835170999534
Costa Rica,384.57604112435735,1.8877075759401518,65.7048246976127,1.3555635215775603,302.175,2.315776488027293,339.05870000000004,2.1426085683629266,381.7727,2.188994476034856,426.70550000000003,2.5007604124656937,469.78009999999995,3.076152329435084,167.60510000000005,3.3739729252437343
Czech Republic,486.9992078519244,2.0936446969417615,93.35085319887966,1.2373854221925766,365.3455,2.7456182445853607,418.4717,2.971876995477774,485.74890000000005,2.7987606572920014,553.1119000000001,2.7059305507122215,610.128,2.890024611871359,244.7825,3.8420464220111707
Denmark*,489.273876942411,1.9488222695141262,81.56431609427675,1.0866119960811957,382.8686,2.51230101345803,432.84130000000005,2.3936783299685676,489.2682,2.476631116501251,545.2059,2.5257163463780268,595.4058,3.0281797514256716,212.53719999999998,3.523918931664654
Estonia,509.9469532247615,1.9844748824103422,84.94771686549849,1.0994277487852284,401.2495000000001,2.485344474363661,449.5308,2.521095524656778,509.28580000000005,2.41499495254821,568.5667000000001,2.500772543524187,620.3098,2.981498512237126,219.06029999999998,3.123855081510314
Finland,484.13922563776697,1.857155952008415,89.27698107869521,0.8807696841435814,365.6911,2.546904087509424,420.49870000000004,2.2486602048652062,485.94300000000004,2.2904511089218,547.3369000000001,2.35570233455498,599.5987,2.717382778929427,233.90760000000006,3.1466047932432075
France,473.9444184205984,2.4889736450946547,91.0620891623746,1.067968701208731,353.4576,2.9811846027301874,408.48400000000004,3.2925059427095604,475.2276,2.880247477720736,539.0545000000001,3.08677235717181,592.6454,3.107956248641899,239.18780000000004,3.5881957128161526
Germany,474.82645390785706,3.0648044725406103,94.71103726446646,1.3196301056960484,350.6104,4.151175966719153,407.0742,3.8558767559870377,474.3598000000001,3.797602949376243,541.246,3.4053081158725957,599.078,3.7377665283264747,248.4676,4.534750910254677
Greece,430.1463218532806,2.3350234487243897,83.37324710421963,1.3308553469918425,325.68030000000005,2.9692129540783516,369.71560000000005,2.7551608467867506,426.2919,2.7151670547132087,487.2092,2.5750481629799977,542.0621,3.185941175871138,216.3818,3.512083244631629
Hungary,472.77612237193983,2.5140600273705536,93.89699043545477,1.6869238125631112,347.52099999999996,3.2208455965268934,406.20149999999995,3.3013986041272454,474.41970000000003,3.2988680582427747,538.4214000000001,3.373961770266857,594.683,4.249493490536395,247.1620000000001,5.128662299112056
Iceland,458.89644981037986,1.582063518068669,87.7835299605806,1.1628424925106058,344.39,2.891285910090678,396.28880000000004,2.4906411580822625,457.76319999999987,2.17057032955754,520.3564,2.557496236909347,574.4419999999999,3.345084029670344,230.05199999999996,4.2445555402054636
Ireland*,491.6482795918828,2.02226633837936,79.62383162560124,0.9121863011427687,386.56380000000007,2.776205893766409,436.81090000000006,2.872312276237078,492.8946000000001,2.294268171322708,547.2273000000001,2.1316006602368605,593.7378000000001,2.745640273460808,207.17400000000004,3.236317209550581
Israel,457.8966665933153,3.2691485309175023,107.07107687595038,1.8782384451176268,316.6016,4.306853406813124,380.2129,3.8765444922708574,458.3616,4.136841625429825,534.2649,3.8430648745680664,596.72,4.624664133104997,280.1184,5.900153106546846
Italy,471.2594754762866,3.0933882304626166,88.90286172128502,1.5754791038480405,357.2128,3.0406905060090113,407.88980000000004,2.9911871672604056,469.14520000000005,3.5226716696792963,532.9011,4.407394965030675,589.2771000000001,5.088843404339419,232.06429999999992,5.104551914005547
Japan,535.5793059957158,2.9338277779405133,92.75353379828255,1.8791632969494063,409.9241,4.863626677539325,473.09889999999996,4.1536686493187345,540.3374,3.233068757989676,601.3188,3.3156536953099005,652.4593,4.317081103271306,242.53519999999995,6.055452934305031
Korea,527.3025017804583,3.8628092342515536,105.20068767278602,2.557473219951802,387.79970000000003,6.395728508522091,456.1909,5.0720441309994095,531.4357,4.29052853037944,600.2993,4.238247210178203,659.6604,4.980207399267851,271.8607,7.702818007896723
Latvia*,483.1594552018177,2.031913091427376,80.14629487518725,1.1759155156520928,380.6579,3.4176433381303424,427.54110000000003,2.5456251153258576,481.2138,2.410208047036599,537.1602,2.566714151725242,587.1930000000001,2.9786900998080377,206.53510000000003,3.97663037055595
Lithuania,475.14676197725714,1.8418202094056788,87.2084121756871,1.2958396829556884,363.6093,2.933953425556261,412.5542,2.446431626653168,472.5055,2.288200104036165,534.5499,2.531948180749362,590.8468,3.035039197989595,227.23750000000007,4.016028118261452
Mexico,395.02991921871023,2.2705888394981915,69.39281351086343,1.4362621676066338,309.53200000000004,2.839644652847333,346.78460000000007,2.3491524008080513,391.0205,2.554369148363471,440.13239999999996,2.890708773524811,487.45200000000006,3.799551053377525,177.92,4.165504167898258
Netherlands*,492.6756389784962,3.7659610888125816,106.0940837991634,2.0533448480618217,347.51360000000005,5.65849996274042,411.06210000000004,6.627924892327412,496.7962999999999,4.892749343160756,574.4486,3.449725062072193,629.6741999999999,2.7538162657583953,282.1606,5.787521362331589
New Zealand*,479.07419345237787,1.9870247861740193,98.52026414167369,1.3593363854303875,350.4455,3.236706609133903,408.2462,3.226541507042279,478.09130000000005,2.6515472430943237,546.8436,2.889191715303391,608.5363000000001,3.7473396143871947,258.0908,4.957867418025842
